u,v,sim
Q6P__top,Q151P,0.5376082686672892
Q6P__top,Q15P,0.5995933596979244
Q6P__top,Q165P,0.5616932138144919
Q6P__top,Q166P,0.5979768887640055
Q6P__top,Q167P,0.6395783421178726
Q6P__top,Q168P,0.6238303078398307
Q6P__top,Q170P__top,0.6348280715865675
Q6P__top,Q171P__top,0.5166566123734835
Q6P__top,Q183__bottom,0.5627286170129971
Q6P__top,Q185__bottom,0.5015751725986997
Q6P__top,Q186__bottom,0.6295551533838283
Q6P__top,Q193__bottom,0.5747947501762005
Q6P__top,Q195__bottom,0.5192455655139429
Q6P__top,Q205P__bottom,0.5431064648762138
Q6P__top,Q209P__bottom,0.540116629800925
Q6P__top,Q210P__bottom,0.5307051850306791
Q6P__top,Q211P__bottom,0.5255661769423238
Q6P__top,Q212P__bottom,0.5304871696933922
Q6P__top,Q214P__bottom,0.5183770136514959
Q6P__top,Q218P__bottom,0.5229167108528283
Q6P__top,Q22P,0.5399825725584825
Q6P__top,Q234P__top,0.5270098644722421
Q6P__top,Q254P__top,0.5833792267870911
Q6P__top,Q255P__top,0.5663483701020744
Q6P__top,Q256P__top,0.5140648390195947
Q6P__top,Q257P__top,0.5501932658578547
Q6P__top,Q28P__top,0.5127466094689099
Q6P__top,Q45P__top,0.5380661269299261
Q6P__top,Q57P__c1,0.5223710379549659
Q6P__top,Q64P__top,0.5130147239537949
Q70P__bottom,Q78P__bottom,0.6112833532700241
Q70P__bottom,Q79P__bottom,0.5479823255132681
Q70P__bottom,Q80P__bottom,0.5030637404486976
Q70P__bottom,Q81P__bottom,0.5073358884847301
Q113__bottom,Q114__bottom,0.7135529608006672
Q113__bottom,Q115__bottom,0.7287837554950806
Q113__bottom,Q116__middle,0.6533815379286456
